City_ID,City,Country,Max Temp,Current Description,Lat,Lon,Hotel Name
1,sampit,ID,75.47,overcast clouds,-2.5333,112.95,Aquarius Boutique Hotel Sampit
7,ambunti,PG,74.08,overcast clouds,-4.2365,142.8448,AMBUNTI HIDE INN
13,kalmunai,LK,79.12,broken clouds,7.4167,81.8167,VS Villa
14,najran,SA,78.64,overcast clouds,17.4924,44.1277,محمد هادي ال فطيح
18,cayenne,GF,84.24,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
19,victoria,HK,72.18,overcast clouds,22.2855,114.1577,Mini Hotel Central
24,faanui,PF,81.5,few clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
27,tarauaca,BR,83.5,scattered clouds,-8.1614,-70.7656,Flat Temporada
29,avarua,CK,80.65,broken clouds,-21.2078,-159.775,Paradise Inn
32,iralaya,HN,84.13,clear sky,15.0,-83.2333,Iglesia morava renovada
37,feira de santana,BR,75.43,overcast clouds,-12.2667,-38.9667,Hotel Paraiso
38,atuona,PF,79.57,light rain,-9.8,-139.0333,Villa Enata
41,volcan,PA,71.71,overcast clouds,8.7667,-82.6333,Hostal Victoria Volcan Chiriqui
45,hithadhoo,MV,82.78,few clouds,-0.6,73.0833,Scoop Guest House
49,vila velha,BR,80.55,clear sky,-20.3297,-40.2925,Hotel Vitória Palace
52,vaini,TO,77.16,scattered clouds,-21.2,-175.2,Keleti Beach Resort
53,itaituba,BR,80.87,overcast clouds,-4.2761,-55.9836,Hotel Campos
54,hobyo,SO,83.55,scattered clouds,5.3505,48.5268,Iftin hotel hobyo
58,honiara,SB,76.82,overcast clouds,-9.4333,159.95,Heritage Park Hotel
61,mwene-ditu,CD,72.16,overcast clouds,-7.0,23.45,Hôtel Kamas
63,pemangkat,ID,78.94,overcast clouds,1.1667,108.9667,Ramah Kost KITA
70,rikitea,PF,78.21,clear sky,-23.1203,-134.9692,People ThankYou
75,mahebourg,MU,77.25,moderate rain,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
76,bilma,NE,86.92,few clouds,18.6853,12.9164,Expeditions Ténére voyages
78,auki,SB,76.77,overcast clouds,-8.7676,160.7034,Auki Motel
80,kapaa,US,75.18,moderate rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
83,wanning,CN,75.67,broken clouds,18.8003,110.3967,Paradise Hotel
85,paciran,ID,80.51,overcast clouds,-6.8767,112.3761,Tanjung Kodok Beach Resort
91,rio grande,BR,71.94,overcast clouds,-32.035,-52.0986,Hotel Atlântico Rio Grande
101,dingle,PH,76.03,broken clouds,10.9995,122.6711,SEGAYA PROPERTY
102,kahului,US,78.82,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
103,puerto ayora,EC,78.76,light rain,-0.7393,-90.3518,Finch Bay Galapagos Hotel
108,san patricio,US,86.72,few clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
109,sao filipe,CV,71.92,clear sky,14.8961,-24.4956,Hotel Xaguate
113,kavieng,PG,82.85,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
