,City,Country,Lat,Lon,Max Temp,Humidity,Cloudiness,Current Description
0,busselton,AU,-33.65,115.3333,57.2,66,85,overcast clouds
1,sampit,ID,-2.5333,112.95,75.47,90,90,overcast clouds
2,bluff,NZ,-46.6,168.3333,46.62,85,6,clear sky
3,ushuaia,AR,-54.8,-68.3,51.46,71,75,broken clouds
4,cherskiy,RU,68.75,161.3,6.48,94,100,overcast clouds
5,wawa,NG,9.9022,4.4192,90.9,40,24,few clouds
6,tuktoyaktuk,CA,69.4541,-133.0374,12.2,62,75,broken clouds
7,ambunti,PG,-4.2365,142.8448,74.08,99,100,overcast clouds
8,upernavik,GL,72.7868,-56.1549,-2.88,81,100,overcast clouds
9,los llanos de aridane,ES,28.6585,-17.9182,65.95,83,15,few clouds
10,vanavara,RU,60.34,102.2797,38.52,86,46,scattered clouds
11,ilulissat,GL,69.2167,-51.1,7.86,87,33,scattered clouds
12,verkhnevilyuysk,RU,63.4453,120.3167,30.49,97,100,snow
13,kalmunai,LK,7.4167,81.8167,79.12,86,56,broken clouds
14,najran,SA,17.4924,44.1277,78.64,26,98,overcast clouds
15,pisco,PE,-13.7,-76.2167,70.02,77,0,clear sky
16,seoul,KR,37.5683,126.9778,49.44,46,100,overcast clouds
17,new norfolk,AU,-42.7826,147.0587,56.66,67,100,light rain
18,cayenne,GF,4.9333,-52.3333,84.24,6,75,broken clouds
19,victoria,HK,22.2855,114.1577,72.18,80,100,overcast clouds
20,telsiai,LT,55.9814,22.2472,36.43,69,42,scattered clouds
21,barrow,US,71.2906,-156.7887,-3.98,77,0,clear sky
22,san jeronimo,PE,-11.9472,-75.2829,64.87,45,30,scattered clouds
23,rielasingen-worblingen,DE,47.7347,8.8401,52.02,43,42,scattered clouds
24,faanui,PF,-16.4833,-151.75,81.5,71,18,few clouds
25,sobolevo,RU,54.4299,31.8996,36.21,69,100,light rain
26,punta arenas,CL,-53.15,-70.9167,46.51,93,75,broken clouds
27,tarauaca,BR,-8.1614,-70.7656,83.5,72,44,scattered clouds
28,north bend,US,43.4065,-124.2243,53.24,76,0,clear sky
29,avarua,CK,-21.2078,-159.775,80.65,78,51,broken clouds
30,nikolskoye,RU,59.7035,30.7861,38.8,77,100,overcast clouds
31,severo-kurilsk,RU,50.6789,156.125,28.74,80,73,broken clouds
32,iralaya,HN,15.0,-83.2333,84.13,60,5,clear sky
33,vardo,NO,70.3705,31.1107,35.58,93,75,light intensity drizzle
34,berlevag,NO,70.8578,29.0864,41.0,93,100,overcast clouds
35,ahipara,NZ,-35.1667,173.1667,68.04,92,100,overcast clouds
36,ust-ilimsk,RU,58.0006,102.6619,44.58,93,33,scattered clouds
37,feira de santana,BR,-12.2667,-38.9667,75.43,89,100,overcast clouds
38,atuona,PF,-9.8,-139.0333,79.57,80,18,light rain
39,port hardy,CA,50.6996,-127.4199,46.9,61,17,few clouds
40,naustdal,NO,61.509,5.7168,54.19,92,100,overcast clouds
41,volcan,PA,8.7667,-82.6333,71.71,85,100,overcast clouds
42,husavik,IS,66.0449,-17.3389,40.51,97,100,light rain
43,port elizabeth,ZA,-33.918,25.5701,65.32,99,0,clear sky
44,tazovskiy,RU,67.4667,78.7,13.35,94,100,overcast clouds
45,hithadhoo,MV,-0.6,73.0833,82.78,75,16,few clouds
46,klaksvik,FO,62.2266,-6.589,47.32,94,100,overcast clouds
47,buckeye,US,33.3703,-112.5838,89.29,13,0,clear sky
48,bredasdorp,ZA,-34.5322,20.0403,59.31,94,38,scattered clouds
49,vila velha,BR,-20.3297,-40.2925,80.55,69,0,clear sky
50,hermanus,ZA,-34.4187,19.2345,60.55,82,5,clear sky
51,katsuura,JP,35.1333,140.3,58.93,72,91,overcast clouds
52,vaini,TO,-21.2,-175.2,77.16,94,40,scattered clouds
53,itaituba,BR,-4.2761,-55.9836,80.87,94,100,overcast clouds
54,hobyo,SO,5.3505,48.5268,83.55,81,44,scattered clouds
55,moldoveni,RO,46.8333,26.7667,40.21,65,20,few clouds
56,castro,BR,-24.7911,-50.0119,66.85,52,0,clear sky
57,zavallya,UA,48.2135,30.0156,39.42,68,98,overcast clouds
58,honiara,SB,-9.4333,159.95,76.82,84,97,overcast clouds
59,vigrestad,NO,58.5667,5.7,49.96,76,85,overcast clouds
